date,NYSE:AIG,NYSE:AIR,NYSE:ADM,NYSE:ABT,NYSE:PRI,NYSE:Y,NYSE:ALK,NYSE:AXP
2009-01-01,195.58110500061798,0.0,0.0,0.0,0.0,0.0,49.45054945054945,0.0
2009-02-01,309.6700829176451,108.05856051284144,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,1091.9945029201174,191.18053013810413,0.0,0.0,0.0,48.15409309791333,0.0,48.0
2009-04-01,1059.397652086681,241.0537119132617,47.545766625650245,95.43732064494156,0.0,48.15409309791333,0.0,48.0
2009-05-01,1271.2771825040172,99.7463635503152,47.545766625650245,146.13839723756678,0.0,49.388813433757264,0.0,49.0
2009-06-01,684.533867502163,99.7463635503152,47.545766625650245,50.701076592625206,0.0,0.0,0.0,50.0
2009-07-01,488.95276250154495,99.7463635503152,47.545766625650245,0.0,0.0,49.388813433757264,0.0,0.0
2009-08-01,847.5181216693447,49.8731817751576,0.0,0.0,0.0,0.0,0.0,48.0
2009-09-01,1157.1882045869902,141.30734836294653,0.0,44.73624405231636,0.0,0.0,0.0,0.0
2009-10-01,488.95276250154495,91.43416658778892,0.0,175.96255993911103,0.0,0.0,0.0,0.0
2009-11-01,407.46063541795417,91.43416658778892,0.0,44.73624405231636,0.0,0.0,0.0,0.0
2009-12-01,179.2826795838998,132.99515140042027,0.0,89.47248810463272,0.0,44.44993209038154,89.01098901098902,0.0
2010-01-01,342.2669337510815,0.0,0.0,41.753827782161935,0.0,0.0,0.0,42.0
2010-02-01,211.87953041733618,41.560984812631325,0.0,172.9801436689566,0.0,0.0,42.85714285714286,44.0
2010-03-01,309.6700829176451,41.560984812631325,38.901081784622924,0.0,39.0994773017245,0.0,0.0,0.0
2010-04-01,407.46063541795417,207.8049240631567,0.0,0.0,205.78672264065528,43.215211754537606,0.0,0.0
2010-05-01,260.7748066674907,124.68295443789397,0.0,0.0,0.0,44.44993209038154,0.0,0.0
2010-06-01,391.16221000123596,83.12196962526265,0.0,0.0,131.70350249001936,0.0,0.0,0.0
2010-07-01,228.17795583405433,74.80977266273638,0.0,38.77141151200751,0.0,0.0,0.0,0.0
2010-08-01,391.16221000123596,108.05856051284144,34.57873936410927,35.78899524185309,0.0,0.0,107.69230769230771,36.0
2010-09-01,130.38740333374534,99.7463635503152,0.0,0.0,34.9837428489114,0.0,0.0,0.0
2010-10-01,195.58110500061798,99.7463635503152,0.0,35.78899524185309,0.0,35.806889739474016,0.0,0.0
2010-11-01,195.58110500061798,99.7463635503152,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,391.16221000123596,33.24878785010507,0.0,101.40215318525041,32.92587562250484,34.572169403630085,0.0,100.0
2011-01-01,440.05748625139046,49.8731817751576,0.0,53.68349286277963,0.0,0.0,0.0,52.0
