date,NYSE:AIR,NYSE:ABT
2016-09-01,19.444444444444443,5.0
2016-10-01,13.88888888888889,0.0
2016-11-01,13.88888888888889,9.0
2016-12-01,16.666666666666664,17.0
2017-01-01,30.555555555555554,12.0
2017-02-01,25.0,18.0
2017-03-01,8.333333333333332,4.0
2017-04-01,30.555555555555554,0.0
2017-05-01,22.22222222222222,9.0
2017-06-01,27.77777777777778,9.0
2017-07-01,41.666666666666664,14.0
2017-08-01,13.88888888888889,4.0
2017-09-01,5.555555555555555,17.0
2017-10-01,11.11111111111111,12.0
2017-11-01,25.0,13.0
2017-12-01,25.0,8.0
2018-01-01,27.77777777777778,20.0
2018-02-01,16.666666666666664,13.0
2018-03-01,30.555555555555554,20.0
2018-04-01,19.444444444444443,8.0
2018-05-01,25.0,4.0
2018-06-01,22.22222222222222,21.0
2018-07-01,50.0,13.0
2018-08-01,25.0,29.0
2018-09-01,13.88888888888889,17.0
2018-10-01,25.0,29.0
2018-11-01,25.0,33.0
2018-12-01,13.88888888888889,17.0
2019-01-01,25.0,12.0
2019-02-01,47.22222222222222,17.0
2019-03-01,25.0,24.0
2019-04-01,19.444444444444443,37.0
2019-05-01,27.77777777777778,49.0
2019-06-01,16.666666666666664,25.0
2019-07-01,22.22222222222222,42.0
2019-08-01,16.666666666666664,32.0
2019-09-01,38.888888888888886,16.0
2019-10-01,8.333333333333332,11.0
2019-11-01,19.444444444444443,15.0
2019-12-01,33.33333333333333,15.0
2020-01-01,27.77777777777778,14.0
2020-02-01,36.11111111111111,19.0
2020-03-01,69.44444444444444,39.0
2020-04-01,52.77777777777778,100.0
2020-05-01,55.55555555555556,23.0
2020-06-01,58.33333333333333,38.0
2020-07-01,25.0,32.0
2020-08-01,27.77777777777778,10.0
2020-09-01,38.888888888888886,17.0
2020-10-01,33.33333333333333,23.0
2020-11-01,30.555555555555554,4.0
2020-12-01,69.44444444444444,15.0
2021-01-01,33.33333333333333,22.0
2021-02-01,30.555555555555554,17.0
2021-03-01,47.22222222222222,22.0
2021-04-01,27.77777777777778,28.0
2021-05-01,8.333333333333332,4.0
2021-06-01,25.0,24.0
2021-07-01,36.11111111111111,20.0
2021-08-01,33.33333333333333,12.0
2021-09-01,25.0,30.0
2021-10-01,27.77777777777778,29.0
2021-11-01,38.888888888888886,17.0
2021-12-01,41.666666666666664,17.0
2022-01-01,44.44444444444444,21.0
2022-02-01,27.77777777777778,28.0
2022-03-01,52.77777777777778,12.0
2022-04-01,19.444444444444443,25.0
2022-05-01,0.0,0.0
